# N2 단어 한국어 뜻
発売	발매
～勝	~승
～条	~조
～場	~장
～畳	~첩 (다다미)
～色	~색
～過ぎる	너무 ~하다
～済	~완료
～席	~석
～船	~선
～戦	~전
～前|～ぜん	~전
～沿い	~을 따라
～艘	~척
～足	~켤레
～だらけ	~투성이
～団	~단
～着	~벌, ~착
～庁	~청
～兆	~조
～長	~장
～帳	~장 (수첩)
～丁目	~정목
～通	~통 (편지)
～遣い	~사용
～付	~붙음
～続く	계속 ~하다
～辛い	~하기 힘들다
～滴	~방울
～点	~점
～頭	~마리 (큰 동물)
～等|～とう	~등
～島	~도 (섬)
～道	~도, ~길
～通り	~대로, ~거리
～ところ	막 ~하려는 참
～内	~내
～年生	~학년
～泊	~박
～発	~발
～番目	~번째
～費	~비
～病	~병
～部	~부
～風	~풍
～振り	~만에
～遍	~번
～弁	~사투리
～歩	~보
～ぽい	~같다, ~스럽다
～ほう (ひかく)	~쪽 (비교)
～みたい	~같다
～向け	~용
～名	~명
～もち	~을 가진 사람
～問	~문 (문제)
～夜	~박, ~밤
～等|～ら	~들
～流	~류
～料	~료
～領	~령
～力	~력
～論	~론
～羽	~마리 (새)
アイデア; アイディア	아이디어
明くる～	다음~
あちらこちら	여기저기
あみもの	뜨개질
言い付ける	분부하다, 고자질하다
幾～	몇~
行っていらっしゃい	다녀오세요
いってきます	다녀오겠습니다
いってまいります	다녀오겠습니다 (공손)
行ってらっしゃい	다녀오세요
上～	상~
ええと	음, 저
おおざっぱ	대략적임
おかけください	앉으세요
おかげさまで	덕분에
おかまいなく	신경 쓰지 마세요
お代わり	한 그릇 더
お気の毒に	안됐네요
送り仮名	오쿠리가나
お元気で	잘 지내세요
お邪魔します	실례합니다
お世話になりました	신세 많이 졌습니다
お大事に	몸조리 잘하세요
お出掛け	외출
お手伝いさん	가사 도우미
お願いします	부탁합니다
お待たせしました	오래 기다리셨습니다
お待ちください	기다려 주세요
おまちどおさま	오래 기다리셨습니다
思い掛けない	뜻밖이다
おやつ	간식
御～|おん～	(존경 접두어) 어~
女の人	여자
外～	외~
回数券	회수권
書取	받아쓰기
各～	각~
かけざん	곱셈
かしこまりました	알겠습니다 (공손)
貸間	셋방
かたかな	가타카나
かたづく	정리되다
勝手に	멋대로
かび (～がはえる)	곰팡이
構いません	괜찮습니다
機関車	기관차
共産～	공산~
気を付ける	조심하다
空～	빈~, 공~
蛍光灯	형광등
下品(な)	천박한
現～	현~
小～	소~
高～	고~
交通機関	교통 기관
高等学校	고등학교
こうよう もみじ	단풍
こくせき	국적
ご苦労様	수고하셨습니다
こちらこそ	저야말로
言付ける	전갈을 부탁하다
言葉遣い	말씨
今～	이번~, 금~
再～	재~
最～	최~
一昨昨日	그끄저께
しいんと (する)	조용히, 쥐 죽은 듯
しかく しかくい	네모, 네모나다
仕方がない	어쩔 수 없다
自然科学	자연 과학
室～	실~
しつれいしました (かん)	실례했습니다
しめた (かん)	됐다!
社会科学	사회 과학
じゃんけん	가위바위보
重～	중~
じゅうたん (カーペット)	융단, 카펫
初～	초~
諸～	여러~
女～	여~
省～	절~ (절약)
しょうがない	어쩔 수 없다
消極的	소극적
しわ (かおの～)	주름
人文科学	인문 과학
水平線	수평선
ずうっと	쭉, 계속
好き好き	취향 나름
すまない	미안하다
前～	전~
先々月	지지난달
先々週	지지난주
総～	총~
そういえば	그러고 보니
総理大臣	총리대신
卒直	솔직
そのころ	그 무렵
そのため	그 때문에
それはいけませんね (かん)	그거 안됐네요
存じる	알다 (겸양)
第～	제~
だいいち (とりわけ)	우선, 첫째로
だらしない	칠칠치 못하다
短～	단~
地下水	지하수
縮れる	곱슬곱슬해지다
長～|ちょう～	장~
調味料	조미료
塵紙	휴지
つうか	통화 (화폐)
低～	저~
定期券	정기권
定休日	정기 휴일
適確	적확
テニスコート	테니스장
同～	동~
どういたしまして (かん)	천만에요
通り掛かる	마침 지나가다
長～|なが～	긴~
何々	무엇무엇
生意気な	건방진
日用品	일용품
熱する	가열하다
残らず	남김없이
はい (かん)	네
始めに	먼저, 처음에
初めに	처음에
×	가위표, 엑스
話中	통화 중
反～	반~
非～	비~
引受る	떠맡다
引算	뺄셈
陽射	햇살
引っ繰り返す	뒤집다
必需品	필수품
一～	한~
一通り	대강, 한 차례
ひゃっかじてん	백과사전
百科事典	백과사전
広さ	넓이
副～	부~
古～	옛~, 헌~
別々	따로따로
防～	방~
朗らか(な)	명랑한
ほんの～	그저 ~, 불과 ~
まあまあ	그럭저럭
毎～	매~
未～	미~
惨めな	비참한
ミリ (メートル)	밀리미터
民主～	민주~
名～	명~
申し訳ない	죄송하다
もしかしたら	어쩌면
もたれる	기대다
凭れる	기대다
やたらに	함부로, 무턱대고
遊園地	놀이공원
湯飲	찻잔
洋品店	양품점
翌～	다음~, 익~
よごす	더럽히다
両～	양~
零点	영점
和～	일본식~
我～	우리~
割合に	비교적
割と	비교적
