# N1 단어 한국어 뜻
俺	나 (남성, 거친 말)
幹線	간선
還暦	환갑
議決	의결
教習	교습
アルカリ	알칼리
アワー	시간
譲歩	양보
畜産	축산
手錠	수갑
詫び	사과
砂利	자갈
本館	본관
安っぽい	싸구려 같다
優美	우미
火花	불꽃
好ましい	바람직하다
根気	끈기
悩ましい	괴롭다, 요염하다
熱量	열량
寄贈	기증
勤勉	근면
称する	칭하다
募る	모집하다, 심해지다
鉄鋼	철강
扶養	부양
平方	제곱
方策	방책
夕焼け	저녁노을
考古学	고고학
耕作	경작
冬眠	동면
インテリ	지식인
かかと	발뒤꿈치
染まる	물들다
滞納	체납
ワット	와트
不服	불복, 불만
漏れる	새다
ごまかす	속이다, 얼버무리다
仕上げる	완성하다
長々	장황하게
切開	절개
退化	퇴화
チームワーク	팀워크
着席	착석
出直し	다시 시작함
真上	바로 위
皇居	황궁
熱湯	뜨거운 물
茶の間	거실
微量	미량
ボイコット	보이콧
利息	이자
ひいては	나아가서는
比重	비중
粉々	산산조각
結核	결핵
殿様	영주, 나리
慣例	관례
統率	통솔
弾力	탄력
領海	영해
コントラスト	대비
共働き	맞벌이
名高い	유명하다
打ち込む	몰두하다, 박아 넣다
円満	원만
赴く	향하다, 부임하다
元来	원래
期末	기말
切替	전환
健やか	건강함
たくましい	늠름하다
単調	단조
発育	발육
物議	물의
婿	사위
産後	산후
抜け出す	빠져나가다
値打ち	가치
粘り	끈기, 끈적임
大方	대부분, 아마
概略	개략
軍備	군비
三味線	샤미센
微塵	미진, 티끌
腿	허벅지
余程	상당히, 어지간히
名札	명찰
励む	힘쓰다
交わる	교차하다, 사귀다
群がる	떼 지어 모이다
極楽	극락
ネガ	네거티브 (필름)
教職	교직
照合	대조
初版	초판
絶版	절판
怠慢	태만
着工	착공
発芽	발아
風車	풍차
不景気	불경기
見苦しい	보기 흉하다
小切手	수표
何気ない	아무렇지도 않다
隠居	은거
お手上げ	두 손 듦
怯える	겁먹다
気品	기품
樹立	수립
親善	친선
添える	곁들이다
旅客	여객
久しい	오래되다
特派	특파
受かる	합격하다
おんぶ	업기
自首	자수
中和	중화
祝賀	축하
ブザー	버저
林業	임업
混血	혼혈
拝借	빌림 (겸양)
がっちり	튼튼히, 단단히
田園	전원
レントゲン	엑스레이
保温	보온
乱れる	흐트러지다
病む	앓다
酪農	낙농
冷蔵	냉장
見地	견지
飲み込む	삼키다, 이해하다
一概に	일률적으로
重んじる	중시하다
改悪	개악
屈折	굴절
組み込む	짜 넣다
信任	신임
そらす	휘게 하다, 돌리다
ダンプ	덤프트럭
不吉	불길
前置き	서론
鞠	공 (놀이용)
脅す	위협하다
華奢	가냘픔
気流	기류
討議	토의
制する	제압하다
整列	정렬
種々	여러 가지
封建	봉건
未開	미개
洋風	서양식
家来	가신
遂げる	이루다
カムバック	컴백
司る	관장하다
弁論	변론
豊作	풍작
乱す	어지럽히다
脆い	무르다, 약하다
ルーズ	칠칠치 못함
雪崩	눈사태
農耕	농경
課外	과외
清らか	맑음, 깨끗함
切れ目	끊긴 곳, 틈
多数決	다수결
ジャンパー	점퍼
紛らわしい	헷갈리기 쉽다
真心	진심
盲点	맹점
和らげる	누그러뜨리다
溶液	용액
ばらまく	흩뿌리다
エレガント	우아함
害する	해치다
給仕	급사
天災	천재지변
済ます	끝내다, 때우다
適宜	적당히
手際	솜씨
防火	방화 (화재 방지)
免れる	면하다
見なす	간주하다
目下|もっか	목하, 현재
余興	여흥
濫用	남용
志す	뜻하다, 지망하다
荷造り	짐 꾸리기
英字	영문자
学士	학사
花壇	화단
しなやか	유연함
辟易	질림, 손듦
もてる	인기가 있다
余暇	여가
びら	전단
強いる	강요하다
式場	식장
海運	해운
貫禄	관록
禁じる	금하다
ふらふら	비틀비틀
ほとり	근처, 물가
目論見	계획, 속셈
心掛け	마음가짐
几帳面	꼼꼼함
きっぱり	딱 잘라
立ち寄る	들르다
調印	조인
デモンストレーション	시연, 시위
質素	검소
瞬き	깜박임
ナイター	야간 경기
大筋	대강
過密	과밀
気兼ね	눈치 봄, 스스러움
油絵	유화
甘える	응석 부리다
励ます	격려하다
化ける	둔갑하다
張り紙	벽보
標語	표어
仕掛	장치, 속임수
サボる	땡땡이치다
賑わう	붐비다, 번창하다
岩石	암석
記名	기명
あやふや	애매함
進呈	진정 (드림)
短波	단파
シック	세련됨
弁解	변명
まちまち	제각각
略語	약어
産出	산출
しきたり	관례
元首	원수
内乱	내란
埋め込む	묻다, 끼워 넣다
白状	자백
一様	한결같음
議案	의안
誤る	잘못하다
静的	정적
駄作	졸작
呟く	중얼거리다
報じる	보도하다
引きずる	질질 끌다
遮る	가로막다
抜かす	빠뜨리다, 앞지르다
起伏	기복
玄人	전문가
仕切る	칸막이하다, 도맡다
甘口	단맛
堪える|たえる	견디다
勤め先	근무처
手掛かり	단서
割当	할당
踏み込む	발을 들여놓다
見渡す	둘러보다
発病	발병
練る	반죽하다, 다듬다
年号	연호
受け付ける	접수하다
遅くとも	늦어도
海抜	해발
ストロボ	스트로보
絶える	끊어지다
面目|めんぼく	면목, 체면
面目|めんもく	면목
ジーパン	청바지
兼業	겸업
卑しい	천하다, 비열하다
打ち明ける	털어놓다
学説	학설
沈める	가라앉히다
生き甲斐	삶의 보람
幾多	수많은
立ち去る	떠나가다
連なる	늘어서다
手数|てかず	수고, 손
手数|てすう	수고, 수수료
デコレーション	장식
恥じる	부끄러워하다
凌ぐ	능가하다, 견디다
用件	용건
阻む	막다
悟る	깨닫다
取り締まる	단속하다
売り出す	팔기 시작하다
縁側	툇마루
押し寄せる	밀어닥치다
海流	해류
微か	희미함
戯曲	희곡
群集	군집
記す	적다, 기록하다
ダース	다스
分業	분업
まるっきり	완전히
欠乏	결핍
介抱	간호
脚色	각색
全盛	전성
社宅	사택
不順	불순
逆立ち	물구나무서기
惜しむ	아끼다, 아쉬워하다
共学	공학
漁村	어촌
ずるずる	질질
賄う	조달하다, 식사를 제공하다
民宿	민박
旅券	여권
回送	회송
賭	내기, 도박
細やか	자상함, 소박함
おろそか	소홀함
跡継ぎ	후계자
据える	설치하다, 앉히다
製鉄	제철
見習う	본받다, 견습하다
専ら	오로지
揺らぐ	흔들리다
拝啓	배계 (편지 첫머리)
隔週	격주
弁償	변상
呆然	어안이 벙벙함
冷淡	냉담
興業	흥업
肉親	육친
ノイローゼ	노이로제
大柄	큰 몸집, 큰 무늬
オリエンテーション	오리엔테이션
前途	전도, 앞날
付け加える	덧붙이다
十字路	네거리
倹約	검약
庇う	감싸다
願書	원서
先天的	선천적
垂れる	늘어지다, 드리우다
下火	불길이 약해짐, 한물감
身なり	옷차림
日夜	밤낮
思い付き	착상
荒っぽい	거칠다
生臭い	비린내 나다
片言	서투른 말
渡り鳥	철새
前売	예매
申し出る	자청하다, 신청하다
指図	지시
授ける	주다, 전수하다
名付ける	이름 짓다
落葉	낙엽
形勢	형세
徹する	철저하다, 일관하다
橋渡し	다리 놓기, 중개
下取り	보상 판매
おっかない	무섭다
首飾り	목걸이
下調べ	사전 조사
自転	자전
放り込む	던져 넣다
催す	개최하다, 느끼다
読み上げる	소리 내어 읽다
富む	풍부하다
根回し	사전 교섭
押し込む	밀어 넣다
生真面目	고지식함
弾む	튀다, 신이 나다
守衛	수위
身の上	신상, 처지
目途	목표, 전망
くすぐったい	간지럽다
面する	면하다
果てる	끝나다
原典	원전
鉱業	광업
同封	동봉
にきび	여드름
打ち切る	중단하다
足し算	덧셈
出くわす	마주치다
煩わしい	번거롭다
見晴らし	전망
もてなす	대접하다
高尚	고상
遠ざかる	멀어지다
仲人	중매인
和やか	화기애애함
粘る	끈적이다, 끈질기게 버티다
潤う	촉촉해지다, 윤택해지다
くぐる	빠져나가다
伝来	전래
仰ぐ	우러러보다
ぞんざい	소홀함, 난폭함
束ねる	묶다
歪む|ゆがむ	일그러지다
緩める	느슨하게 하다
立方	세제곱
甚だ	매우
早める	앞당기다
歪む|ひずむ	뒤틀리다
梢	나뭇가지 끝
途絶える	끊기다
衰える	쇠약해지다
擦る|かする	스치다
球根	구근
しぶとい	끈질기다
人影	사람 그림자
察する	헤아리다
取締り	단속
眠たい	졸리다
乗っ取る	탈취하다
駆け足	구보, 뛰어감
連ねる	늘어놓다
欺く	속이다
中腹	중턱
つかの間	잠깐 동안
老衰	노쇠
寝かせる	재우다, 숙성시키다
罵る	욕을 퍼붓다
インターチェンジ	나들목
受身	수동, 수동태
回覧	회람
休学	휴학
有り様	모양, 실정
スラックス	슬랙스
宣教	선교
沈殿	침전
はかない	덧없다
合議	합의 (협의)
とかく	어쨌든, 자칫하면
オートマチック	자동
折り返す	접다, 되돌아가다
整然	정연
全快	완쾌
鉄棒	철봉
私有	사유
振り出し	출발점
栄える	번영하다
打ち消し	부정
団扇	부채 (둥근)
合わす	합치다
結び付ける	연결하다
類推	유추
控室	대기실
公団	공단
城下	성 아래 마을
ちやほや	떠받듦
分母	분모
身振り	몸짓
投げ出す	내던지다
ずばり	정곡을 찔러
専修	전수, 전공
担架	들것
宙返り	공중제비
平たい	평평하다
旧知	옛 친구
転じる	바꾸다, 돌리다
脱する	벗어나다
たやすい	손쉽다
負かす	이기다, 패배시키다
山腹	산중턱
悩ます	괴롭히다
ねだる	조르다
縁談	혼담
温和	온화
折衷	절충
題する	제목을 붙이다
染みる	스며들다, 사무치다
物好き	호기심, 별난 취미
纏まり	정리, 통일성
陰気	음침함
お袋	어머니 (속어)
漢語	한어 (한자어)
感無量	감개무량
傷付ける	상처 입히다
郷愁	향수
準急	준급행
すみやか	신속함
大便	대변
実費	실비
ほっぺた	볼
水気	물기
仕上	마무리
うっとうしい	음울하다, 성가시다
当て字	취음자
つぶら	동그랗고 귀여움
閉口	질림, 손듦
仕入れる	구입하다
映写	영사
徐行	서행
踏まえる	근거로 하다
葬る	매장하다
揺さぶる	흔들다
年賀	연하
治まる	진정되다, 다스려지다
お産	출산
問い合わせる	문의하다
浮力	부력
残金	잔금
灌漑	관개
手引	안내, 입문서
手回し	준비
明朗	명랑
もろに	정면으로, 완전히
びっしょり	흠뻑
国定	국정
かさばる	부피가 커지다
親しむ	친해지다, 즐기다
背く	등지다, 어기다
転回	전회, 회전
緩む	느슨해지다
日取り	날짜 (정하기)
かさむ	불어나다
華々しい	화려하다
原書	원서
務まる	감당하다
利潤	이윤
殊に	특히
演ずる	연기하다
往診	왕진
同級	동급
手近	가까움
ドライブイン	드라이브인
うぬぼれ	자만
うたた寝	선잠
婉曲	완곡
すがすがしい	상쾌하다
縮まる	줄어들다
召す	부르시다, 입으시다
もがく	발버둥 치다
原形	원형
侵す	침범하다
がっしり	튼튼히
郷里	고향
慕う	그리워하다, 따르다
見せびらかす	과시하다
嘗める	핥다, 얕보다
懐く	따르다, 친숙해지다
鈍る	무디어지다
概説	개설
かりに	임시로, 가령
きちっと	딱, 정확히
仕組	구조, 짜임
夜更け	야밤
籠もる	틀어박히다
障る	지장이 있다, 해롭다
暗算	암산
和文	일문
助動詞	조동사
年輪	나이테
おびただしい	엄청나다
きっかり	꼭, 정확히
気風	기풍
行き違い	엇갈림
きしむ	삐걱거리다
興じる	흥겨워하다
奉る	바치다
仕立てる	짓다, 만들다
凝る	엉기다, 열중하다, 뻐근하다
厳か	엄숙함
ばかばかしい	어처구니없다
弱る	약해지다, 곤란하다
浸す	담그다
妥結	타결
茶の湯	다도
講読	강독
滞る	밀리다, 정체되다
きらびやか	눈부시게 화려함
嘴	부리
戦災	전쟁 피해
先だって	요전에
給う	주시다
食い違う	어긋나다
けなす	헐뜯다
紛れる	섞여 들다, 잊혀지다
善し悪し	좋고 나쁨
腫れる	붓다
薄弱	박약
結び付き	결합, 관계
凶作	흉작
転任	전임
交える	섞다, 주고받다
口述	구술
心細い	불안하다
戸締り	문단속
帯びる	띠다
完ぺき	완벽
嘲笑う	비웃다
接続詞	접속사
淑やか	정숙함
紡績	방적
交す	주고받다
耽る	빠지다, 몰두하다
ドライクリーニング	드라이클리닝
近眼	근시
てんで	전혀
空しい	허무하다
目覚しい	눈부시다
もめる	옥신각신하다
びり	꼴찌
がっくり	풀썩, 낙담함
取り寄せる	주문해서 가져오게 하다
ばい菌	세균
老いる	늙다
押し切る	밀어붙이다
雨具	우비
備わる	갖추어지다
聴講	청강
文語	문어
真ん前	바로 앞
申出	신청
進度	진도
尊ぶ	존중하다
納まる	수습되다, 들어가다
あくどい	악랄하다, 칙칙하다
悪しからず	양해 바랍니다
駆けっこ	달리기 시합
金槌	쇠망치
弛み	느슨함, 해이
差し掛かる	다다르다
汽船	기선
あべこべ	거꾸로
見合わせる	서로 보다, 보류하다
碁盤	바둑판
研ぐ	갈다, 씻다 (쌀)
なにとぞ	부디
海路	해로
点線	점선
待ち望む	고대하다
冴える	맑아지다, 선명하다
滲む	번지다
準じる	준하다
庶務	서무
成育	성육
みすぼらしい	초라하다
霞む	흐릿해지다
焚火	모닥불
剥ぐ	벗기다
定まる	정해지다
擦れる	스치다, 닳다
放り出す	내팽개치다
丸める	둥글게 하다
目付き	눈매
好況	호황
こじれる	꼬이다, 악화되다
妬む	시기하다
帰京	귀경
修学	수학 (학문)
ぺこぺこ	굽실굽실, 배고픔
目盛	눈금
貴い	귀하다
化繊	화학 섬유
吹奏	취주
痛切	통절
手分け	분담
見落とす	빠뜨리고 보다
原っぱ	들판, 빈터
すれちがい	엇갈림
膨れる	부풀다
結び付く	결부되다
快い	상쾌하다
西日	석양볕
着飾る	차려입다
両極	양극
取り立てる	징수하다
反る|そる	휘다, 젖히다
おおげさ	과장됨
恐れ入る	황송하다
老ける	늙다
はらはら	조마조마
心掛ける	유념하다
かぶれる	옻 오르다, 물들다
意気込む	의욕을 보이다
蒸溜	증류
違える	바꾸다, 틀리게 하다
大水	홍수
省みる	반성하다
急かす	재촉하다
手筈	준비, 계획
漠然	막연
腹立ち	화, 성남
おどおど	주저주저
お宮	신사
霰	싸라기눈
見せ物	구경거리
月謝	월 수업료
顔付き	얼굴 표정
タイピスト	타자수
朽ちる	썩다
浅ましい	비열하다, 한심하다
遊牧	유목
恥じらう	부끄러워하다
しくじる	실수하다
賜る	하사하다, 받잡다
ぶかぶか	헐렁헐렁
清濁	청탁 (선악)
外方	딴 데
焦げ茶	암갈색
顧みる	돌아보다
生温い	미지근하다
気立て	마음씨
ぼやく	투덜거리다
月賦	월부
任す	맡기다
凝らす	집중하다, 공들이다
ぼやける	흐려지다
中程	중간쯤
窮乏	궁핍
大部	대부분
布巾	행주
聳える	우뚝 솟다
とぼける	시치미 떼다
いたわる	위로하다, 돌보다
敬具	경구 (편지 끝맺음)
案じる	걱정하다
満場	만장
差し支える	지장이 있다
げっそり	홀쭉해짐, 실망함
謝絶	사절
引っ掻く	할퀴다
掻き回す	휘젓다
蹴飛ばす	걷어차다
目方	무게
イェス	예스
他動詞	타동사
突っ張る	버티다, 뻗치다
なるたけ	되도록
稲光	번개
盛装	성장 (차려입음)
むしる	쥐어뜯다
空ろ	텅 빔, 멍함
危ぶむ	위태롭게 여기다
煙たい	냅다, 거북하다
呆気ない	싱겁다, 어이없다
ビールス	바이러스
取り調べる	취조하다
取り次ぐ	전하다, 중개하다
転ずる	바꾸다
申し入れる	제의하다
繕う	수선하다, 꾸미다
さえずる	지저귀다
屎尿	분뇨
やりとげる	해내다
月並	평범함, 진부함
トランジスター	트랜지스터
自ずから	저절로
雑木	잡목
とがめる	나무라다
テレックス	텔렉스
夜更し	밤샘, 늦게 잠
冷やかす	놀리다
伜	자식놈 (아들)
辿り着く	간신히 도착하다
エアメール	항공 우편
吊り革	손잡이 (전철)
蔵相	재무장관
うつむく	고개를 숙이다
へりくだる	겸손하다
濯ぐ|すすぐ	헹구다
煙る	연기 나다, 부옇다
にせ物	가짜
詰る	힐책하다
持ち切り	화제 만발
情無い	한심하다
継目	이음매
つねる	꼬집다
言付け	전갈
異見	이견
重んずる	중시하다
澄ます	맑게 하다, 귀 기울이다
剥げる	벗겨지다
ふんだん	풍부함
予て	미리, 전부터
呼び止める	불러 세우다
懲りる	질리다
ロープウエイ	케이블카
釣り鐘	범종
報ずる	보도하다
改まる	새로워지다, 격식 차리다
数詞	수사
肝腎	중요함
局限	국한
雛祭	히나마츠리
ぼつぼつ	슬슬, 드문드문
躾ける	예절을 가르치다
一頃	한때
立て替える	대신 지불하다
余所見	한눈팔기
似通う	서로 닮다
捩れる	비틀리다
塵取り	쓰레받기
湿気る	눅눅해지다
すばしこい	재빠르다
まごつく	당황하다
共稼ぎ	맞벌이
摩する	문지르다
真っ二つ	두 동강
箇条書	조목별 기술
備え付ける	비치하다
だぶだぶ	헐렁헐렁
見計らう	가늠하다
度忘れ	깜빡 잊음
ばてる	녹초가 되다
断える	끊어지다
遅らす	늦추다
書き取る	받아 적다
据え付ける	설치하다
けがらわしい	더럽다, 불결하다
ミスプリント	오식
夜具	침구
代る代る	번갈아
弛む	느슨해지다
馴々しい	허물없다, 버릇없다
恵む	베풀다
惚ける	노망나다
即する	입각하다
いやに	이상하게, 몹시
軒並	집집마다, 일제히
とぎれる	끊기다
漏る	새다
損う	해치다
濯ぐ|ゆすぐ	헹구다
謹む	삼가다
具わる	갖추어지다
洒落る	멋 부리다, 익살 부리다
突っ突く	쿡쿡 찌르다, 부추기다
引取る	인수하다
厳密	엄밀
故～	고~ (故人)
～光	~광 (빛)
煌々と	휘황하게
光熱費	광열비
ございます (かん)	있습니다 (공손)
こす (みずを～)	거르다
こつ (をつかむ)	요령
骨董品	골동품
ごらんなさい (かん)	보세요
コンタクト (レンズ)	콘택트렌즈
さきに (いぜん)	앞서, 이전에
さぞ (さぞや。さぞかし)	틀림없이, 필시
座談会	좌담회
さっぱりする	개운하다
さらう (こどもを～)	유괴하다
強いて	굳이
とげ (をさす)	가시
～どころか	~은커녕
とっさに	순간적으로
とって	손잡이
取り混ぜる	뒤섞다
とんだ	뜻밖의, 엉뚱한
情深い	인정 많다
なにより	무엇보다
～なんか	~따위
なんなり	무엇이든
にも関わらず	~에도 불구하고
ねじまわし	드라이버
のどか	한가로움
～派	~파
配偶者	배우자
一別	이별
一面	일면, 한편
一挙に	단번에
嫌々	마지못해
インターフォン	인터폰
受持ち	담당
植わる	심어지다
～営	~영 (경영)
於いて	~에서
おおい (かん)	어이
おおまかな	대략적인
おごる (ゆうしょくを～)	한턱내다
御世辞	겉치레 말
おだてる	추켜세우다
お使い	심부름
～界	~계
～街	~가 (거리)
かく (はじを)	(창피를) 당하다
～画|～かく	~획
掛～	외상~
～掛け	~걸이
片～	한쪽~
かなわない	당할 수 없다
噛み切る	물어뜯다
体付き	몸매
気障	아니꼬움
傷付く	상처 입다
きまりわるい	쑥스럽다
～狂	~광
～きり	~뿐
くじ (～をひく)	제비
くじびき	제비뽑기
口吟む	흥얼거리다
当～	당~
時刻表	시간표
赤らむ	붉어지다
あせる (こえが～)	바래다
あつらえる	맞추다, 주문하다
～宛	~앞
ありふれる	흔하다
～合せ	합해서
(花を〜) 生ける, 活ける	(꽃을) 꽂다
いたって	지극히
～署	~서
～症	~증
～証	~증 (증명)
～嬢	~양
植民地	식민지
～心	~심
すくう (みずを～)	뜨다, 떠내다
ずぶぬれ	흠뻑 젖음
清ます	맑게 하다
ずらっと	죽 (늘어서)
即座に	즉석에서
素っ気無い	무뚝뚝하다
そり (～にのる)	썰매
それゆえ	그러므로
だったら	그렇다면
だと	그렇다면
蛋白質	단백질
～著	~저
聴診器	청진기
つじつま (はなしの～)	앞뒤, 조리
努めて	애써
つぶる (めを～)	(눈을) 감다
ティシュペーパー	티슈
できもの	부스럼
照り返す	반사하다
～割	~할
割込む	끼어들다
実業家	실업가
萎びる	시들다
耳鼻科	이비인후과
～宗	~종
従業員	종업원
震わせる	떨게 하다
隔たる	떨어지다
綻びる	(솔기가) 터지다, 피다
干し～	말린~
干し物	빨래 (말리는 것)
マイ～	마이~, 자기~
マイクロフォン	마이크
～増し	~증가
またがる (うまを～)	올라타다
まと	과녁
～まみれ	~투성이
真ん丸い	동그랗다
真ん円い	동그랗다
～味	~미 (맛)
未熟	미숙
無意味	무의미
無闇に	함부로
～網	~망
モーテル	모텔
～薬	~약
やりとおす	끝까지 해내다
～油	~유
指差す	손가락질하다
欲深い	욕심 많다
よし (かん)	좋아
よって (よりどころ)	따라서
～寄り	~쪽, ~가까이
寄り掛かる	기대다
万人	만인
引下げる	끌어내리다
ひび (かべの～)	금, 균열
