# N3 단어 한국어 뜻
と	~와, ~과
物価	물가
磁気	자기
沈む	가라앉다
刺す	찌르다
割る	깨다, 나누다
協調	협조
たびたび	자주
取り上げる	집어 들다, 다루다
上京	상경
重なる	겹치다
器用	손재주가 좋음
対照	대조
年月|としつき	세월
年月|ねんげつ	세월
包装	포장
ぼんやり	멍하니, 희미하게
覆う	덮다
硬貨	동전
医院	의원
築く	쌓다, 구축하다
責める	비난하다
注ぐ|そそぐ	붓다, 쏟다
注ぐ|つぐ	따르다
包み	꾸러미
しゃべる	수다 떨다
石炭	석탄
見当	짐작
校舎	교사 (건물)
芝生	잔디밭
暗記	암기
稲	벼
ノック	노크
上る	오르다
塀	담
小麦	밀
故人	고인
ソファー	소파
閉じる	닫다, 감다
衆	무리
供	수행원, 동반
碑	비석
食卓	식탁
勘定	계산
掴む	붙잡다
暮れ	해 질 녘, 연말
見送り	배웅
歓声	환성
積む	쌓다
外れる	빠지다, 빗나가다
含める	포함시키다
ジーンズ	청바지
遭う	(일을) 당하다
向く	향하다, 적합하다
動詞	동사
熱帯	열대
覚める	깨다
従兄弟	사촌
恐れる	두려워하다
劣る	뒤떨어지다
飼う	기르다
狂う	미치다, 틀어지다
ヨット	요트
攻める	공격하다
それと	그리고
混ぜる	섞다
勧める	권하다
老い	늙음
技師	기사
ぐっすり	푹 (잠)
虫歯	충치
燃やす	태우다
バイオリン	바이올린
埃	먼지
生年月日	생년월일
合図	신호
粗	결점, 흠
休息	휴식
雇う	고용하다
渦	소용돌이
揃う	갖추어지다
賞品	상품 (경품)
応じる	응하다
穀物	곡물
器官	기관 (신체)
書物	서적
堅い	단단하다, 견실하다
塵|ごみ	쓰레기
名詞	명사
意地悪	심술
居眠り	졸음
裏切る	배신하다
予期	예기
荒廃	황폐
散る	흩어지다, 지다
覗く	들여다보다
湿気|しっけ	습기
ざっと	대충
譲る	양보하다
用心	조심
溜まる	쌓이다
次ぐ	뒤를 잇다
鳴らす	울리다
作法	예의범절
騙す	속이다
ピクニック	소풍
ぶつかる	부딪치다
継ぐ	잇다, 계승하다
明かり	불빛
泳ぎ	수영
下る|くだる	내려가다
或	어느, 어떤
収める	거두다, 넣다
溺れる	빠지다
黒板	칠판
溶ける	녹다
話し合う	의논하다
ハンサム	잘생김
広める	넓히다, 퍼뜨리다
不通	불통
禅	선 (불교)
直に	바로, 곧
隠れる	숨다
揃える	갖추다, 가지런히 하다
立ち上がる	일어서다
ハイキング	하이킹
測る	재다
蹴る	차다
伝言	전언
至急	지급, 긴급
酔う	취하다
粗末	허술함
就く	취임하다, 오르다
鼠	쥐
ぶつける	부딪치다, 던지다
巻く	감다
臨む	임하다, 면하다
預ける	맡기다
胡椒	후추
逆らう	거스르다
万一	만일
突く|つく	찌르다
転校	전학
済ませる	끝내다
寄せる	다가오다, 모으다
契機	계기
飛び出す	뛰쳐나가다
活気	활기
平ら	평평함
解ける|とける	풀리다
膳	상, 밥상
深める	깊게 하다
前もって	미리
すれ違う	엇갈리다
替える	바꾸다
建つ	세워지다
霜	서리
腐る	썩다
命じる	명령하다
依然	여전히
精算	정산
従姉妹	사촌 자매
お喋り	수다
あいにく	공교롭게도
両替	환전
載る	실리다
かゆい	가렵다
享受	향수, 누림
黙る	입을 다물다
冷やす	식히다
拭く	닦다
繋げる	잇다
チャイム	차임벨
所為	탓
温める	데우다
行儀	예절
語句	어구
採集	채집
現す	나타내다
悲しむ	슬퍼하다
持ち上げる	들어 올리다
流行る	유행하다
居間	거실
大人しい	얌전하다
囲む	둘러싸다
刺さる	꽂히다
要点	요점
ラケット	라켓
散らす	흩뜨리다
汚す	더럽히다
説く	설명하다, 설득하다
酸性	산성
詰める	채우다, 좁히다
昇る	오르다
精々	기껏해야
衣料	의료 (의류)
今にも	당장이라도
訓	훈 (훈독)
申し込む	신청하다
成年	성년
利口	영리함
湧く	솟다
埋まる	묻히다, 메워지다
にっこり	방긋
離す	떼다
広まる	퍼지다
書斎	서재
沿う	따르다
お辞儀	인사, 절
そのうえ	게다가
手品	마술
深まる	깊어지다
碁	바둑
欠く	빠뜨리다
留める	고정하다
はさみ	가위
対する	대하다
ペンキ	페인트
精巧	정교
加味	가미
ばったり	딱 (마주침)
強める	강하게 하다
納める	납부하다, 거두다
冷める	식다
ジェット機	제트기
裁く	재판하다
映える	빛나다, 돋보이다
四角	네모
優れる	뛰어나다
強まる	강해지다
覚ます	깨우다
凍る	얼다
釣	낚시
撒く	뿌리다
映す	비추다
写る	찍히다, 비치다
丘陵	구릉
預かる	맡다
童謡	동요
断つ	끊다
慌てる	당황하다
言わば	말하자면
炊く	밥을 짓다
亡くす	여의다
偶	짝수
便り	소식
気に入る	마음에 들다
煮る	삶다, 조리다
転ぶ	넘어지다
計器	계기
退く	물러나다
特長	장점
ずれる	어긋나다
教わる	배우다
論じる	논하다
不平	불평
吠える	짖다
重体	중태
昨	어제, 지난
訳す	번역하다
横切る	가로지르다
姓名	성명
非行	비행
嗅ぐ	냄새 맡다
蒸し暑い	무덥다
地平線	지평선
女史	여사
通り過ぎる	지나가다
延びる	연장되다
罰する	벌하다
討つ	치다, 토벌하다
帰す	돌려보내다
椀	공기, 사발
計る	재다
修飾	수식
けち	인색함
省く	생략하다
微笑む	미소 짓다
助詞	조사
温まる	따뜻해지다
いらいら	초조함, 짜증
滅多に	좀처럼
まぶしい	눈부시다
炒める	볶다
年寄	노인
明ける	밝다, 새다
気体	기체
目上	윗사람
停留所	정류장
まとまる	정리되다
字体	자체, 글씨체
代える	대신하다
換える	교환하다
反る|かえる	휘다
諺	속담
破れる	찢어지다
混じる	섞이다
生やす	기르다 (수염)
湿る	축축해지다
越す	넘다
慣行	관행
足袋	일본식 버선
磁器	자기
経る	거치다
治める	다스리다
降ろす	내리다
物音	소리
私用	사적인 용무
茹でる	데치다, 삶다
乾かす	말리다
超す	넘다
溜める	모으다
答案	답안
混ざる	섞이다
こぼす	흘리다, 엎지르다
ですから	그러니까
剥く	벗기다
タイプライター	타자기
出合い	만남
積もる	쌓이다
しきりに	자꾸, 끊임없이
近視	근시
こぼれる	넘치다, 흘러나오다
弱める	약하게 하다
擦る|する	문지르다
小包	소포
年鑑	연감
今に	머지않아
延ばす	연장하다
すっぱい	시다
裂く	찢다
濡らす	적시다
挿す	꽂다
弱まる	약해지다
銅貨	동전
生長	생장
放す	놓아주다
片付く	정리되다
汲む	푸다, 긷다
満ちる	차다, 가득하다
蒸す|むす	찌다
季刊	계간
水洗	수세식
器械	기계
暖める	데우다
診る	진찰하다
代る	대신하다
主に	주로
思い付く	생각이 떠오르다
宛てる	보내다 (앞으로)
掻く	긁다
中味	내용물
裂ける	찢어지다
すくなくとも	적어도
畳む	개다, 접다
量る	달다 (무게)
諮る	자문하다
濠	해자
刈る	베다
暖まる	따뜻해지다
摘む	따다
渇く	목마르다
射す	비치다
捲る	넘기다
適する	적합하다
一人一人	한 사람 한 사람
碗	공기, 사발
見掛ける	보다, 눈에 띄다
泊める	묵게 하다
蒔く	씨를 뿌리다
著す	저술하다
冷ます	식히다
うなる	신음하다
関する	관하다
織る	짜다
焚く	불을 때다
卸す	도매하다
怠ける	게으름 피우다
添う	따르다, 곁들다
因る	기인하다
付合う	사귀다
刷る	인쇄하다
傷める	손상하다
追い付く	따라잡다
慣らす	익숙하게 하다
生る	열매가 열리다
馴らす	길들이다
掃く	쓸다
為る|する	하다
為る|なる	되다
交ぜる	섞다
押える	누르다
人込み	인파
知合い	아는 사람
咥える	물다 (입에)
交じる	섞이다
溶く	풀다, 녹이다
煮える	익다, 삶아지다
綴じる	철하다
殖やす	늘리다
酌む	술을 따르다
具える	갖추다
澄む	맑아지다
放れる	떨어지다
注す	따르다
止す	그만두다
少しも	조금도
交ざる	섞이다
一度に	한꺼번에
何か	무언가
しまった (かん)	아차!
奨学金	장학금
すみません (かん)	죄송합니다
清む	맑아지다
積極的	적극적
在る; 有る	있다
いけない	안 된다
いただきます	잘 먹겠습니다
いつでも	언제든지
いつまでも	언제까지나
うがい	양치질 (가글)
男の人	남자
お目に掛かる	뵙다
かもしれない	~일지도 모른다
急に	갑자기
もしかすると	어쩌면
よろしく (かん)	잘 부탁해요
わがまま	제멋대로
～観	~관 (관점)
ことによると	어쩌면
そのうち	머지않아
大部分	대부분
違いない	틀림없다
できれば	가능하면
どうぞよろしく	잘 부탁합니다
どこか	어딘가
とんでもない	당치도 않다
なにも	아무것도
何でも	무엇이든
日中	낮
はあ (かん)	네, 하아
接ぐ	잇다
～敗	~패
